time/total_timesteps,time/iterations,time/time_elapsed,train/reward,time/fps,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/loss,train/clip_range,train/std,train/value_loss,train/n_updates,train/approx_kl,train/explained_variance
147456,72,682,-2.2185922,215,-38.52202305793762,-0.001790452637942508,0.194091796875,0.00025,121.3259506225586,0.2,1.0670114755630493,131.90086052417755,710,0.084438264,0.3806777596473694
149504,73,691,0.69454885,216,-38.575335550308225,-0.007801570318406448,0.047314453125,0.00025,187.01368713378906,0.2,1.0672701597213745,442.66771965026857,720,0.007669987,0.1541479229927063
151552,74,701,0.83310026,216,-38.6021075963974,0.00028221850370755417,0.300830078125,0.00025,14.04263973236084,0.2,1.0708954334259033,35.606760430335996,730,0.048324123,0.5510151982307434
153600,75,709,0.89065903,216,-38.683943796157834,-0.0007026122184470296,0.278466796875,0.00025,226.96949768066406,0.2,1.07180655002594,361.99530563354494,740,0.015890159,0.23893338441848755
155648,76,718,-2.755984,216,-38.69541039466858,-0.00800440770399291,0.117041015625,0.00025,152.73475646972656,0.2,1.0724464654922485,289.4826943874359,750,0.011610407,0.11943316459655762
157696,77,727,-3.008946,216,-38.69509842395782,-0.0056898968789028,0.223828125,0.00025,34.84331512451172,0.2,1.0713613033294678,63.071302223205564,760,0.020909626,0.49727821350097656
159744,78,736,5.880123,216,-38.698693776130675,0.0015153319924138486,0.195751953125,0.00025,156.900634765625,0.2,1.0728708505630493,330.79355068206786,770,0.009876907,0.23304730653762817
161792,79,745,3.1183567,217,-38.74093997478485,-0.0032027431618189437,0.222412109375,0.00025,17.534284591674805,0.2,1.0747672319412231,42.61713300943374,780,0.01920851,0.07857680320739746
163840,80,754,-2.8260448,217,-38.76724681854248,0.002649806867702864,0.216162109375,0.00025,189.76438903808594,0.2,1.07584547996521,309.0786012649536,790,0.072974384,0.24150043725967407
165888,81,763,-0.18175906,217,-38.79761109352112,-0.011701195723435375,0.11123046875,0.00025,45.965885162353516,0.2,1.0769500732421875,201.56706309318542,800,0.010654427,0.37334150075912476
167936,82,772,-2.1231356,217,-38.87691056728363,0.00023797795874997975,0.3728515625,0.00025,18.844327926635742,0.2,1.082468032836914,32.14909335374832,810,0.0391813,0.643244743347168
169984,83,786,7.6131263,215,-38.97323727607727,-0.001740681630326435,0.287158203125,0.00025,128.7078857421875,0.2,1.084224820137024,289.25494680404665,820,0.018060017,0.2463388442993164
172032,84,801,-0.5338259,214,-38.99984514713287,-0.005527489015366882,0.19814453125,0.00025,42.072818756103516,0.2,1.0855646133422852,70.53395922183991,830,0.019863985,0.34369760751724243
174080,85,811,4.9413714,214,-39.030765008926394,-0.006108224559284281,0.188671875,0.00025,36.25080871582031,0.2,1.086540937423706,176.8677306175232,840,0.015363063,0.44953739643096924
176128,86,820,0.6635355,214,-39.043199920654295,-0.009527260091272183,0.12509765625,0.00025,89.96243286132812,0.2,1.086592197418213,190.12268052101135,850,0.010159098,0.5020099878311157
178176,87,829,1.2904937,214,-39.04698238372803,-0.010171258938498795,0.258203125,0.00025,13.535588264465332,0.2,1.0874664783477783,31.29333382844925,860,0.02715028,0.3530123829841614
180224,88,838,-0.50998497,215,-39.07712595462799,-0.008573309222992976,0.12578125,0.00025,50.3184700012207,0.2,1.0885720252990723,150.33299853801728,870,0.013537689,0.2796797752380371
182272,89,846,1.5436287,215,-39.09345653057098,-0.012474512899643742,0.1712890625,0.00025,48.93076705932617,0.2,1.0887348651885986,79.97326135635376,880,0.016287562,0.17950892448425293
184320,90,855,3.3392525,215,-39.10992069244385,-5.28545439010486e-05,0.272802734375,0.00025,58.57417678833008,0.2,1.090480923652649,176.77695112228395,890,0.032185815,0.06919056177139282
186368,91,863,2.130562,215,-39.15139622688294,-0.004962430587329436,0.228076171875,0.00025,46.99359893798828,0.2,1.092071771621704,115.5222044467926,900,0.01685045,0.4584231972694397
188416,92,872,-0.7769476,215,-39.210594868659975,-0.006733269328833558,0.299853515625,0.00025,6.05582332611084,0.2,1.0959309339523315,15.510325920581817,910,0.042001855,0.6171845197677612
190464,93,881,-5.936458,216,-39.275554585456845,-0.01052426973474212,0.1814453125,0.00025,51.31797790527344,0.2,1.0967737436294556,82.73610644340515,920,0.017007735,0.49570971727371216
192512,94,890,-0.61367387,216,-39.29577310085297,-0.0056835999872419055,0.1875,0.00025,83.70100402832031,0.2,1.0981382131576538,117.14598333835602,930,0.016039602,0.4245460033416748
194560,95,898,-0.7529981,216,-39.31534073352814,-0.005408309752237983,0.2671875,0.00025,22.630155563354492,0.2,1.0984177589416504,45.66034049987793,940,0.024988549,0.37273669242858887
196608,96,907,-0.37219316,216,-39.330728435516356,-0.012646704692451749,0.244384765625,0.00025,56.113094329833984,0.2,1.0990914106369019,126.52475130558014,950,0.015442424,0.5048315823078156
198656,97,917,-0.6745042,216,-39.36945524215698,-0.01662997851963155,0.30087890625,0.00025,15.420973777770996,0.2,1.101754903793335,32.3138418674469,960,0.026403341,0.410594642162323
200704,98,925,-4.5064383,216,-39.40393319129944,-0.007525972167059081,0.0796875,0.00025,70.6078109741211,0.2,1.1023350954055786,157.0701605319977,970,0.0077030077,0.3973376154899597
