train/reward,time/total_timesteps,time/iterations,train/value_loss,train/std,train/policy_loss,time/fps,train/learning_rate,time/time_elapsed,train/entropy_loss,train/n_updates,train/explained_variance
-0.17629823,40500,8100,0.29135552048683167,1.0483208894729614,16.616565704345703,109,0.0007,370,-45.3853759765625,8099,0.30236929655075073
0.648319,41000,8200,0.6550559401512146,1.048952341079712,-21.963050842285156,109,0.0007,374,-45.40891647338867,8199,-1.1920928955078125e-07
-2.3005548,41500,8300,18.884977340698242,1.0502965450286865,-183.76869201660156,109,0.0007,379,-45.4374885559082,8299,0.0
0.8381747,42000,8400,2.061603307723999,1.0500775575637817,-56.418548583984375,109,0.0007,384,-45.43001174926758,8399,0.0
0.69318366,42500,8500,312.9035339355469,1.0491869449615479,-798.0269775390625,109,0.0007,388,-45.41141128540039,8499,0.0
4.702957,43000,8600,6.355593204498291,1.0485342741012573,95.56071472167969,109,0.0007,393,-45.38368606567383,8599,0.02203148603439331
2.560455,43500,8700,57.47471237182617,1.0475329160690308,328.887939453125,109,0.0007,398,-45.35713195800781,8699,0.0
-2.339652,44000,8800,5.739048957824707,1.0479594469070435,17.76898765563965,109,0.0007,403,-45.3719596862793,8799,0.17183321714401245
-0.4775908,44500,8900,10.237665176391602,1.0497093200683594,-119.75634765625,109,0.0007,408,-45.41997528076172,8899,0.0
0.42054632,45000,9000,4.611504554748535,1.05036199092865,-79.78474426269531,108,0.0007,412,-45.43909454345703,8999,0.0
0.1450903,45500,9100,0.8489965200424194,1.0505342483520508,-34.59287643432617,108,0.0007,417,-45.45534896850586,9099,0.0
-3.3781476,46000,9200,9.025294303894043,1.0483046770095825,112.7560043334961,108,0.0007,422,-45.37559509277344,9199,0.0
-4.5957623,46500,9300,37.415855407714844,1.047925591468811,-77.6502685546875,108,0.0007,426,-45.367408752441406,9299,0.0
0.26439887,47000,9400,0.06476598978042603,1.0485804080963135,5.316416263580322,108,0.0007,431,-45.38853454589844,9399,0.4778398275375366
-0.39426428,47500,9500,11.56620979309082,1.0514391660690308,135.6282196044922,108,0.0007,436,-45.478782653808594,9499,0.0
-1.2696745,48000,9600,0.4653891921043396,1.0537985563278198,-12.378042221069336,108,0.0007,440,-45.53894805908203,9599,-1.1920928955078125e-07
0.13851808,48500,9700,15.882089614868164,1.0551642179489136,-136.12411499023438,108,0.0007,445,-45.569366455078125,9699,5.960464477539063e-08
1.9441315,49000,9800,69.23915100097656,1.056758165359497,-333.3001403808594,108,0.0007,449,-45.61980438232422,9799,0.0
21.461157,49500,9900,1654.1279296875,1.0576834678649902,-1666.615966796875,108,0.0007,454,-45.647220611572266,9899,-1.1920928955078125e-07
10.160322,50000,10000,34.98499298095703,1.0570974349975586,-143.42691040039062,108,0.0007,458,-45.627220153808594,9999,0.0
